N_agents,sigma,steps,exponent,N_simulations,monopoly%,commune%,dynamic
10,0.05,10000,7.8,20.0,0.9633636636336366,0.0203479652034796,monopoly
10,0.05,10000,7.9,20.0,0.9655534446555348,0.0191030896910309,monopoly
10,0.075,10000,4.0,20.0,0.0,0.9999000099989996,commune
10,0.075,10000,4.2,20.0,0.0,0.9999000099989996,commune
10,0.075,10000,4.4,20.0,0.0,0.9999000099989996,commune
10,0.075,10000,4.6,20.0,0.0,0.9998850114988496,commune
10,0.075,10000,4.8,20.0,0.0,0.9998850114988498,commune
10,0.075,10000,5.0,20.0,0.0,0.9996850314968504,commune
10,0.075,10000,5.2,20.0,0.0,0.9993150684931508,commune
10,0.075,10000,5.4,20.0,0.0,0.9985651434856512,commune
10,0.075,10000,5.6,20.0,0.0,0.9962903709629036,commune
10,0.075,10000,5.8,20.0,0.0,0.993135686431357,commune
10,0.075,10000,6.0,40.0,0.0,0.986766323367663,commune
10,0.075,10000,6.1,20.0,0.0,0.982216778322168,commune
10,0.075,10000,6.2,40.0,0.0,0.9758274172582742,commune
10,0.075,10000,6.3,20.0,0.0,0.9666383361663836,commune
10,0.075,10000,6.4,40.0,0.0,0.9585766423357662,commune
10,0.075,10000,6.5,20.0,0.0574692530746925,0.8927257274272572,mixed
10,0.075,10000,6.6,40.0,0.02131786821317865,0.9162033796620338,commune
10,0.075,10000,6.7,20.0,0.2743175682431756,0.6671732826717329,mixed
10,0.075,10000,6.8,40.0,0.3270147985201479,0.6048295170482951,mixed
10,0.075,10000,6.9,20.0,0.4535396460353964,0.4795670432956703,mixed
10,0.075,10000,7.0,40.0,0.7614213578642137,0.1964728527147285,mixed
10,0.075,10000,7.1,20.0,0.8862013798620139,0.0888211178882111,mixed
10,0.075,10000,7.2,40.0,0.9340265973402659,0.0450454954504549,monopoly
10,0.075,10000,7.3,20.0,0.945965403459654,0.0342915708429157,monopoly
10,0.075,10000,7.4,40.0,0.9583916608339167,0.02431256874312565,monopoly
10,0.075,10000,7.5,20.0,0.9716178382161786,0.0132536746325367,monopoly
10,0.075,10000,7.6,40.0,0.9734376562343764,0.011056394360563899,monopoly
10,0.075,10000,7.7,20.0,0.9781171882811718,0.0067293270672932,monopoly
10,0.075,10000,7.8,40.0,0.9785871412858712,0.0063393660633936,monopoly
10,0.075,10000,7.9,20.0,0.9813518648135188,0.0048495150484951,monopoly
10,0.075,10000,8.0,20.0,0.9812218778122188,0.0042795720427957,monopoly
10,0.075,10000,8.2,20.0,0.9830766923307672,0.0028497150284971,monopoly
10,0.075,10000,8.4,20.0,0.9833116688331168,0.0024847515248475,monopoly
10,0.075,10000,8.6,20.0,0.9861713828617138,0.0018398160183981,monopoly
10,0.075,10000,8.8,20.0,0.9852214778522148,0.0013698630136986,monopoly
10,0.075,10000,9.0,20.0,0.9845315468453156,0.0016748325167483,monopoly
10,0.075,10000,9.2,20.0,0.9834166583341668,0.0018098190180981,monopoly
10,0.075,10000,9.4,20.0,0.9844115588441156,0.0012698730126987,monopoly
10,0.075,10000,9.6,20.0,0.9856664333566644,0.0010398960103989,monopoly
10,0.075,10000,9.8,20.0,0.9855014498550144,0.0010848915108489,monopoly
10,0.1,10000,5.0,20.0,0.0,0.9963003699630038,commune
10,0.1,10000,5.05,20.0,0.0,0.9961003899610039,commune
10,0.1,10000,5.1,20.0,0.0,0.9947955204479553,commune
10,0.1,10000,5.15,20.0,0.0,0.9937906209379062,commune
10,0.1,10000,5.2,20.0,0.0,0.9922507749225076,commune
10,0.1,10000,5.25,20.0,0.0,0.9913608639136086,commune
10,0.1,10000,5.3,20.0,0.0,0.9901609839016099,commune
10,0.1,10000,5.35,20.0,0.0,0.9883961603839616,commune
10,0.1,10000,5.4,20.0,0.0,0.986981301869813,commune
10,0.1,10000,5.45,20.0,0.0,0.9838766123387661,commune
10,0.1,10000,5.5,20.0,0.0,0.9819018098190181,commune
10,0.1,10000,5.55,20.0,0.0,0.9788871112888712,commune
10,0.1,10000,5.6,20.0,0.0,0.9768973102689732,commune
10,0.1,10000,5.65,20.0,0.0,0.9732176782321766,commune
10,0.1,10000,5.7,20.0,0.0,0.9696830316968303,commune
10,0.1,10000,5.75,20.0,0.0,0.964883511648835,commune
10,0.1,10000,5.8,20.0,0.0,0.9620837916208378,commune
10,0.1,10000,5.85,20.0,0.0,0.9583641635836417,commune
10,0.1,10000,5.9,120.0,0.0,0.9515575109155753,commune
10,0.1,10000,5.95,120.0,0.021256207712562033,0.9265023497650237,commune
10,0.1,10000,6.0,120.0,0.030989901009898967,0.9109999000099993,commune
10,0.1,10000,6.05,120.0,0.006653667966536666,0.9286841315868412,commune
10,0.1,10000,6.1,120.0,0.032855047828550435,0.8960793920607942,mixed
10,0.1,10000,6.15,120.0,0.043543978935439764,0.8802616405026166,mixed
10,0.1,10000,6.2,120.0,0.05386228043862277,0.8652261440522612,mixed
10,0.1,10000,6.25,120.0,0.08846548678465484,0.8238239509382396,mixed
10,0.1,10000,6.3,120.0,0.16124520881245205,0.7503639636036397,mixed
10,0.1,10000,6.35,120.0,0.27993733959937334,0.6347875212478752,mixed
10,0.1,10000,6.4,120.0,0.37426624004266235,0.5432010132320101,mixed
