N_agents,x_ini,a_i,a_1,mu,sigma,time_steps,N_simulations,gamma_1_rel,error
2,1.0,0.5,1.0,1.0,0.1,10000,600.0,0.22826271667115705,0.005471309765638892
2,1.0,0.5,1.02,1.0,0.1,10000,600.0,0.22463896400159944,0.005481727931812506
2,1.0,0.5,1.04,1.0,0.1,10000,600.0,0.21410718835802772,0.005392368201903063
2,1.0,0.5,1.06,1.0,0.1,10000,600.0,0.21929779283012632,0.0055585836410615985
2,1.0,0.5,1.08,1.0,0.1,10000,600.0,0.21605878692404748,0.005887814680891323
2,1.0,0.5,1.1,1.0,0.1,10000,600.0,0.21596358929396003,0.005551750497894764
2,1.0,0.5,1.12,1.0,0.1,10000,600.0,0.2155334829595953,0.00560270595072742
2,1.0,0.5,1.14,1.0,0.1,10000,600.0,0.2077701551500011,0.0055230620828173715
2,1.0,0.5,1.16,1.0,0.1,10000,600.0,0.21517158674214662,0.005646666658329648
2,1.0,0.5,1.18,1.0,0.1,10000,600.0,0.20453926872000486,0.005555858313953686
2,1.0,0.5,1.2,1.0,0.1,10000,600.0,0.2078239922547572,0.005820686150623305
2,1.0,0.5,1.22,1.0,0.1,10000,600.0,0.204120655196623,0.005804986980876646
2,1.0,0.5,1.24,1.0,0.1,10000,600.0,0.2064039533728189,0.005928717473253223
2,1.0,0.5,1.26,1.0,0.1,10000,600.0,0.20619632870837926,0.006080935213829929
2,1.0,0.5,1.28,1.0,0.1,10000,600.0,0.19484839279205401,0.005811407891074448
2,1.0,0.5,1.3,1.0,0.1,10000,600.0,0.20159882658796188,0.006071119468077154
2,1.0,0.5,1.32,1.0,0.1,10000,600.0,0.1930299425619537,0.005868074267249319
2,1.0,0.5,1.34,1.0,0.1,10000,600.0,0.19417540250371884,0.006184630196413835
2,1.0,0.5,1.36,1.0,0.1,10000,600.0,0.18854673240695327,0.006123136237385562
2,1.0,0.5,1.38,1.0,0.1,10000,600.0,0.19616910337014157,0.00599869769607944
2,1.0,0.5,1.4,1.0,0.1,10000,600.0,0.18795271466670202,0.0057534649963054164
2,1.0,0.5,1.42,1.0,0.1,10000,600.0,0.18883467732004666,0.00612421202743408
2,1.0,0.5,1.44,1.0,0.1,10000,600.0,0.1867581049660431,0.0061794184257558905
2,1.0,0.5,1.46,1.0,0.1,10000,600.0,0.18561350491280593,0.006599079597349931
2,1.0,0.5,1.48,1.0,0.1,10000,600.0,0.19172213210449598,0.006518672257023991
3,1.0,0.5,0.02,1.0,0.1,10000,600.0,0.0847127032538813,0.0005923898484594374
3,1.0,0.5,0.04,1.0,0.1,10000,600.0,0.14014630626914973,0.0011047702634978326
3,1.0,0.5,0.06,1.0,0.1,10000,600.0,0.18136348907111247,0.0014827236874548348
3,1.0,0.5,0.08,1.0,0.1,10000,600.0,0.21398288794646392,0.0017792793215947354
3,1.0,0.5,0.1,1.0,0.1,10000,600.0,0.2398796405361271,0.0020480443139617383
3,1.0,0.5,0.12,1.0,0.1,10000,600.0,0.2590942481164364,0.0023520455945381536
3,1.0,0.5,0.14,1.0,0.1,10000,600.0,0.2744635910284376,0.0025326281359680626
3,1.0,0.5,0.16,1.0,0.1,10000,600.0,0.2877316602186935,0.0028352169340014515
3,1.0,0.5,0.18,1.0,0.1,10000,600.0,0.2952919619136833,0.0030279348616727743
3,1.0,0.5,0.2,1.0,0.1,10000,600.0,0.3089485965555724,0.0030469350987556176
3,1.0,0.5,0.22,1.0,0.1,10000,600.0,0.3149250687382356,0.0033507385778415227
3,1.0,0.5,0.24,1.0,0.1,10000,600.0,0.31873403335529343,0.003708694555560917
3,1.0,0.5,0.26,1.0,0.1,10000,600.0,0.32664587325434363,0.0038016776610411223
3,1.0,0.5,0.28,1.0,0.1,10000,600.0,0.32706987001637017,0.0036810929052034165
3,1.0,0.5,0.3,1.0,0.1,10000,600.0,0.33002772628858573,0.004032240752974911
3,1.0,0.5,0.32,1.0,0.1,10000,600.0,0.3352544346231343,0.004040269140815631
3,1.0,0.5,0.34,1.0,0.1,10000,600.0,0.33243655209541706,0.0039460253396749025
3,1.0,0.5,0.36,1.0,0.1,10000,600.0,0.33288820326863017,0.004413514291087855
3,1.0,0.5,0.38,1.0,0.1,10000,600.0,0.3419679470271288,0.004265928037536356
3,1.0,0.5,0.4,1.0,0.1,10000,600.0,0.3431518553459833,0.004835908973208941
3,1.0,0.5,0.42,1.0,0.1,10000,600.0,0.34104625611154477,0.0043320918866075475
3,1.0,0.5,0.44,1.0,0.1,10000,600.0,0.33978145765723594,0.005099018555817721
3,1.0,0.5,0.46,1.0,0.1,10000,600.0,0.34030509747092497,0.004762356391059052
3,1.0,0.5,0.48,1.0,0.1,10000,600.0,0.3411275520389106,0.0045716610328851446
3,1.0,0.5,0.5,1.0,0.1,10000,600.0,0.3361592615170084,0.004926931356051104
3,1.0,0.5,0.52,1.0,0.1,10000,500.0,0.3324833556777709,0.0034835981324447996
3,1.0,0.5,0.54,1.0,0.1,10000,500.0,0.3368961440770434,0.0037134472629787
3,1.0,0.5,0.56,1.0,0.1,10000,500.0,0.335736728700198,0.0038092361618822994
3,1.0,0.5,0.58,1.0,0.1,10000,500.0,0.3365734654971139,0.0040215403610132
3,1.0,0.5,0.6,1.0,0.1,10000,500.0,0.327758323150051,0.0039830437523872
3,1.0,0.5,0.62,1.0,0.1,10000,500.0,0.3401214723950059,0.0042601379942334
3,1.0,0.5,0.64,1.0,0.1,10000,500.0,0.3379986935023776,0.0041304749119337
3,1.0,0.5,0.66,1.0,0.1,10000,500.0,0.3355126693321505,0.0040630449798175
3,1.0,0.5,0.68,1.0,0.1,10000,500.0,0.3244553339206419,0.0040603169336431
3,1.0,0.5,0.7000000000000001,1.0,0.1,10000,500.0,0.3296559882976735,0.004301728272122
3,1.0,0.5,0.72,1.0,0.1,10000,500.0,0.3363221820462198,0.0042814251973841
3,1.0,0.5,0.74,1.0,0.1,10000,500.0,0.3267684885741252,0.0040225905287528995
3,1.0,0.5,0.76,1.0,0.1,10000,500.0,0.3315372810520133,0.004306307786559099
3,1.0,0.5,0.78,1.0,0.1,10000,600.0,0.3310545702696836,0.005201576045169204
3,1.0,0.5,0.8,1.0,0.1,10000,500.0,0.3328109259401708,0.0041711348401734
3,1.0,0.5,0.8200000000000001,1.0,0.1,10000,500.0,0.3284145800755414,0.004066578048066899
3,1.0,0.5,0.84,1.0,0.1,10000,500.0,0.3270374882219719,0.0043326707805463
3,1.0,0.5,0.86,1.0,0.1,10000,500.0,0.3242233967691046,0.0043154114450996
3,1.0,0.5,0.88,1.0,0.1,10000,500.0,0.3264989140503281,0.004541160557129
3,1.0,0.5,0.9,1.0,0.1,10000,500.0,0.3350655334825134,0.0044382665735274
3,1.0,0.5,0.92,1.0,0.1,10000,500.0,0.326471385406501,0.0043046052222884
3,1.0,0.5,0.94,1.0,0.1,10000,500.0,0.3297163006523463,0.0044305027409321
3,1.0,0.5,0.96,1.0,0.1,10000,500.0,0.3279136273075984,0.0043771238004667
3,1.0,0.5,0.98,1.0,0.1,10000,500.0,0.332114081748051,0.0044122001092484
3,1.0,0.5,1.0,1.0,0.1,10000,500.0,0.325383333097795,0.0044511774613496
3,1.0,0.5,1.02,1.0,0.1,10000,500.0,0.315206313521479,0.0042669345819456
3,1.0,0.5,1.04,1.0,0.1,10000,500.0,0.318606739010908,0.0044050388703767
3,1.0,0.5,1.06,1.0,0.1,10000,600.0,0.30465753741419244,0.005788439092706443
3,1.0,0.5,1.08,1.0,0.1,10000,500.0,0.3174654188514209,0.004264844538511699
3,1.0,0.5,1.1,1.0,0.1,10000,500.0,0.3159918695044841,0.0045852820214
3,1.0,0.5,1.12,1.0,0.1,10000,500.0,0.3175258283789515,0.004163914568814
