N_agents,x_ini,a_i,a_1,mu,sigma,time_steps,N_simulations,gamma_1_rel,error
2,100,0.5,0.22,1.0,0.05,10000,5.0,0.0597941989865993,0.0103188685557192
2,100,0.5,0.22,1.0,0.075,10000,5.0,0.1350292982475283,0.0036964486657348997
2,100,0.5,0.22,1.0,0.1,10000,105.0,0.2141954511573753,0.0051718797298392055
2,100,0.5,0.24,1.0,0.025,10000,5.0,0.0222340868721936,0.0028998713412997
2,100,0.5,0.24,1.0,0.05,10000,5.0,0.05667442368248941,0.010144926066014697
2,100,0.5,0.24,1.0,0.075,10000,5.0,0.1136855346510269,0.0120439495703671
2,100,0.5,0.24,1.0,0.1,10000,105.0,0.2312811382995203,0.006989875300274909
2,100,0.5,0.26,1.0,0.025,10000,5.0,0.012634209839099301,0.0067501569408301995
2,100,0.5,0.26,1.0,0.05,10000,5.0,0.0651204803320074,0.014138037622613798
2,100,0.5,0.26,1.0,0.075,10000,5.0,0.1233621563710416,0.0088910840089338
2,100,0.5,0.26,1.0,0.1,10000,105.0,0.23360271474236352,0.005385834255602846
2,100,0.5,0.28,1.0,0.025,10000,5.0,0.0186183771977938,0.0026818892966707
2,100,0.5,0.28,1.0,0.05,10000,5.0,0.0689882703762229,0.008746338692958898
2,100,0.5,0.28,1.0,0.075,10000,5.0,0.1437740821051933,0.0201136930814154
2,100,0.5,0.28,1.0,0.1,10000,105.0,0.2487174030381141,0.004874229072717227
2,100,0.5,0.3,1.0,0.025,10000,5.0,0.0235477726688722,0.0058937250301653995
2,100,0.5,0.3,1.0,0.05,10000,5.0,0.0791512961604159,0.0079934017356707
2,100,0.5,0.3,1.0,0.075,10000,5.0,0.1557451416981938,0.0087542437511969
2,100,0.5,0.3,1.0,0.1,10000,105.0,0.24359439408351657,0.006920651931945983
2,100,0.5,0.32,1.0,0.025,10000,5.0,0.0164750270189646,0.0043138843848553
2,100,0.5,0.32,1.0,0.05,10000,5.0,0.0668145295181114,0.010242193477589598
2,100,0.5,0.32,1.0,0.075,10000,5.0,0.1497092589930967,0.0085868688344271
2,100,0.5,0.32,1.0,0.1,10000,105.0,0.24007547688286637,0.007870715028103404
2,100,0.5,0.34,1.0,0.025,10000,5.0,0.0191213955332728,0.0078339238323499
2,100,0.5,0.34,1.0,0.05,10000,5.0,0.0647126313105088,0.0116727388644046
2,100,0.5,0.34,1.0,0.075,10000,5.0,0.1203835061552562,0.0201562874622357
2,100,0.5,0.34,1.0,0.1,10000,105.0,0.23677672858667634,0.008054561614587162
2,100,0.5,0.36,1.0,0.025,10000,5.0,0.0114823158959733,0.004949138519929099
2,100,0.5,0.36,1.0,0.05,10000,5.0,0.0854727978057957,0.0081284489834927
2,100,0.5,0.36,1.0,0.075,10000,5.0,0.1533431368603722,0.026426872061022996
2,100,0.5,0.36,1.0,0.1,10000,105.0,0.24633535337381357,0.0076262724635583765
2,100,0.5,0.38,1.0,0.025,10000,5.0,0.012367560495728,0.006173682694387899
2,100,0.5,0.38,1.0,0.05,10000,5.0,0.0503152929429761,0.0051143869762698
2,100,0.5,0.38,1.0,0.075,10000,5.0,0.1441575046533151,0.014839467345303498
2,100,0.5,0.38,1.0,0.1,10000,105.0,0.25851140905129083,0.012883064301050021
2,100,0.5,0.4,1.0,0.025,10000,5.0,0.006856790585278301,0.0072525136107663
2,100,0.5,0.4,1.0,0.05,10000,5.0,0.0385491901010238,0.013783444836634498
2,100,0.5,0.4,1.0,0.075,10000,5.0,0.1789259966004314,0.0413961365033953
2,100,0.5,0.4,1.0,0.1,10000,105.0,0.24359888106744432,0.00846639026428027
2,100,0.5,0.42,1.0,0.025,10000,5.0,0.0148884839033365,0.0072536146364777
2,100,0.5,0.42,1.0,0.05,10000,5.0,0.0491108318473339,0.0062194033878447
2,100,0.5,0.42,1.0,0.075,10000,5.0,0.17050379897181,0.0240889344018399
2,100,0.5,0.42,1.0,0.1,10000,105.0,0.2476715996452911,0.006347912345149608
2,100,0.5,0.44,1.0,0.025,10000,5.0,0.0081895893671959,0.0110134607451607
2,100,0.5,0.44,1.0,0.05,10000,5.0,0.0674033078814359,0.0049639389992863
2,100,0.5,0.44,1.0,0.075,10000,5.0,0.1414472446377278,0.0247087133242733
2,100,0.5,0.44,1.0,0.1,10000,105.0,0.24985700416429227,0.008960444088431063
2,100,0.5,0.46,1.0,0.025,10000,5.0,0.0113069466422116,0.007045379146276101
2,100,0.5,0.46,1.0,0.05,10000,5.0,0.0747311084124597,0.0162960283986926
2,100,0.5,0.46,1.0,0.075,10000,5.0,0.1402563794377353,0.0115583261642257
2,100,0.5,0.46,1.0,0.1,10000,105.0,0.2532677029595496,0.008176728918711972
2,100,0.5,0.48,1.0,0.025,10000,5.0,0.0031952071069497,0.0055381653318322
2,100,0.5,0.48,1.0,0.05,10000,5.0,0.0769692464114191,0.0167481909657925
2,100,0.5,0.48,1.0,0.075,10000,5.0,0.087796221329161,0.026525698313439396
2,100,0.5,0.48,1.0,0.1,10000,105.0,0.25343117806996573,0.011079083845518313
2,100,0.5,0.5,1.0,0.025,10000,5.0,0.0093989702031686,0.0048808126844046
2,100,0.5,0.5,1.0,0.05,10000,5.0,0.0543721483087651,0.0136945184953543
2,100,0.5,0.5,1.0,0.075,10000,5.0,0.1358971401658391,0.0131537383024337
2,100,0.5,0.5,1.0,0.1,10000,105.0,0.26130993710198375,0.007993907215333404
2,100,0.5,0.52,1.0,0.025,10000,5.0,0.0075178295954929,0.0097773834565485
2,100,0.5,0.52,1.0,0.05,10000,5.0,0.0582753491309664,0.016043642829195695
2,100,0.5,0.52,1.0,0.075,10000,5.0,0.1527346041931211,0.021249983365122696
2,100,0.5,0.52,1.0,0.1,10000,105.0,0.26099012937568966,0.0110962714182934
2,100,0.5,0.54,1.0,0.025,10000,5.0,0.0115414821196554,0.0097161470080861
2,100,0.5,0.54,1.0,0.05,10000,5.0,0.0860050193519639,0.0106452822805521
2,100,0.5,0.54,1.0,0.075,10000,5.0,0.1198062854595846,0.011475952148478198
2,100,0.5,0.54,1.0,0.1,10000,105.0,0.268894632520895,0.011100965534673156
2,100,0.5,0.56,1.0,0.025,10000,5.0,0.0107204947123758,0.007380599613896601
2,100,0.5,0.56,1.0,0.05,10000,5.0,0.05018456004151219,0.0126058816930167
2,100,0.5,0.56,1.0,0.075,10000,5.0,0.1334217171044075,0.029803010257977897
2,100,0.5,0.56,1.0,0.1,10000,105.0,0.25695476059010314,0.010296568552757651
2,100,0.5,0.58,1.0,0.025,10000,5.0,0.019340001531854,0.0033958069235333994
2,100,0.5,0.58,1.0,0.05,10000,5.0,0.0694922403631178,0.0246954878771916
2,100,0.5,0.58,1.0,0.075,10000,5.0,0.0950599391617595,0.025184855004613697
2,100,0.5,0.58,1.0,0.1,10000,105.0,0.24694853075851586,0.009357099352268994
2,100,0.5,0.6,1.0,0.025,10000,5.0,0.0033298425813096,0.0060074136812641
2,100,0.5,0.6,1.0,0.05,10000,5.0,0.0381912458271964,0.0162857869653931
2,100,0.5,0.6,1.0,0.075,10000,5.0,0.1698184739249928,0.0151248976834786
2,100,0.5,0.6,1.0,0.1,10000,105.0,0.24289013076422455,0.009943752856078203
2,100,0.5,0.62,1.0,0.025,10000,5.0,0.0090550192843398,0.0021538928519661995
2,100,0.5,0.62,1.0,0.05,10000,5.0,0.0745704618442663,0.0043865850846213994
2,100,0.5,0.62,1.0,0.075,10000,5.0,0.1127019883055119,0.022422982167232597
2,100,0.5,0.62,1.0,0.1,10000,105.0,0.2569041168391104,0.011266703033448181
2,100,0.5,0.64,1.0,0.025,10000,5.0,0.0095756801596191,0.0049940557918171
2,100,0.5,0.64,1.0,0.05,10000,5.0,0.0604569817911992,0.015434675099097999
2,100,0.5,0.64,1.0,0.075,10000,5.0,0.1352952332086635,0.0250704614864642
2,100,0.5,0.64,1.0,0.1,10000,105.0,0.23961390494394533,0.009373720732286105
2,100,0.5,0.66,1.0,0.025,10000,5.0,-0.001879008281375,0.0091042090386306
2,100,0.5,0.66,1.0,0.05,10000,5.0,0.0602685359970748,0.0165621486243445
2,100,0.5,0.66,1.0,0.075,10000,5.0,0.1220337059873264,0.0167206540177274
2,100,0.5,0.66,1.0,0.1,10000,105.0,0.23752279306258406,0.010226511401012491
2,100,0.5,0.68,1.0,0.025,10000,5.0,0.0103682958972916,0.006037126283893
2,100,0.5,0.68,1.0,0.05,10000,5.0,0.041668711364977,0.0144800506932941
2,100,0.5,0.68,1.0,0.075,10000,5.0,0.129680682743132,0.033222766669575
2,100,0.5,0.68,1.0,0.1,10000,105.0,0.2455262233886605,0.009663871806274872
2,100,0.5,0.7,1.0,0.025,10000,5.0,0.016157295983925,0.010294264743385698
2,100,0.5,0.7,1.0,0.05,10000,5.0,0.0657967170593916,0.0174000316645665
2,100,0.5,0.7,1.0,0.075,10000,5.0,0.0945437307568804,0.0130749928356777
2,100,0.5,0.7,1.0,0.1,10000,105.0,0.23337549528801285,0.010844262568166143
2,100,0.5,0.72,1.0,0.025,10000,5.0,0.0129802237210201,0.016266112482361896
2,100,0.5,0.72,1.0,0.05,10000,5.0,0.0363265903037293,0.021605166432724598
2,100,0.5,0.72,1.0,0.075,10000,5.0,0.1634141694294569,0.031079067415198197
2,100,0.5,0.72,1.0,0.1,10000,105.0,0.2595004995007556,0.00863831324126035
2,100,0.5,0.74,1.0,0.025,10000,5.0,0.0193198982959774,0.0066476775826556
2,100,0.5,0.74,1.0,0.05,10000,5.0,0.0601976558997022,0.018192610590306895
2,100,0.5,0.74,1.0,0.075,10000,5.0,0.1321064014066501,0.0223310770890613
2,100,0.5,0.74,1.0,0.1,10000,105.0,0.24344861921782546,0.011855469195391592
2,100,0.5,0.76,1.0,0.025,10000,5.0,0.0199281301219446,0.0059945431610949
2,100,0.5,0.76,1.0,0.05,10000,5.0,0.0495484440737363,0.020446497009831296
2,100,0.5,0.76,1.0,0.075,10000,5.0,0.058609488188423396,0.025460170993709497
2,100,0.5,0.76,1.0,0.1,10000,5.0,0.2312657322749577,0.0252039082763438
2,100,0.5,0.78,1.0,0.025,10000,5.0,0.0103499825771956,0.0082984220564694
2,100,0.5,0.78,1.0,0.05,10000,5.0,0.0806695062107285,0.017570887783932197
2,100,0.5,0.78,1.0,0.075,10000,5.0,0.141486254290252,0.027907690239647596
2,100,0.5,0.78,1.0,0.1,10000,5.0,0.2903743565979454,0.034400844432137395
2,100,0.5,0.8,1.0,0.025,10000,5.0,0.00046411077754620006,0.0113079092192578
2,100,0.5,0.8,1.0,0.05,10000,5.0,0.0457851300249076,0.0231103731117766
2,100,0.5,0.8,1.0,0.075,10000,5.0,0.10978740004383418,0.0412728016309285
2,100,0.5,0.8,1.0,0.1,10000,5.0,0.310909835123334,0.0478642129684948
2,100,0.5,0.82,1.0,0.025,10000,5.0,0.0075177097053822,0.008501712856277
2,100,0.5,0.82,1.0,0.05,10000,5.0,0.028043024436857,0.0140691981067006
2,100,0.5,0.82,1.0,0.075,10000,5.0,0.1060500829403892,0.0210467743696706
2,100,0.5,0.82,1.0,0.1,10000,5.0,0.23086359314152158,0.0372129959343172
2,100,0.5,0.84,1.0,0.025,10000,5.0,0.0065598724774331,0.006554665935198
2,100,0.5,0.84,1.0,0.05,10000,5.0,0.0547171188312184,0.0194790738456865
2,100,0.5,0.84,1.0,0.075,10000,5.0,0.1604102469389434,0.04443009799304049
2,100,0.5,0.84,1.0,0.1,10000,5.0,0.2511356983439389,0.0407490477951754
2,100,0.5,0.86,1.0,0.025,10000,5.0,0.016163256047689,0.005859193670579999
2,100,0.5,0.86,1.0,0.05,10000,5.0,0.0427169942306482,0.0182426211594183
2,100,0.5,0.86,1.0,0.075,10000,5.0,0.1372286997702521,0.0222914501770079
2,100,0.5,0.86,1.0,0.1,10000,5.0,0.2611817494550316,0.0286560311445158
2,100,0.5,0.88,1.0,0.025,10000,5.0,-0.0014213589936703,0.0100249773617717
2,100,0.5,0.88,1.0,0.05,10000,5.0,0.0568832912148601,0.0305181375607404
2,100,0.5,0.88,1.0,0.075,10000,5.0,0.1640407261208236,0.031464082403324
2,100,0.5,0.88,1.0,0.1,10000,5.0,0.2857500920656764,0.023360381943884498
2,100,0.5,0.9,1.0,0.025,10000,5.0,0.0074254149365461,0.0088659497112431
2,100,0.5,0.9,1.0,0.05,10000,5.0,0.0357156078721087,0.0151694607824877
2,100,0.5,0.9,1.0,0.075,10000,5.0,0.11032850904580212,0.0330769401692744
2,100,0.5,0.9,1.0,0.1,10000,5.0,0.20558715626300553,0.0527444329567156
2,100,0.5,0.92,1.0,0.025,10000,5.0,0.0201171303926814,0.003978092026893599
2,100,0.5,0.92,1.0,0.05,10000,5.0,0.0314558235870895,0.0180093000717553
2,100,0.5,0.92,1.0,0.075,10000,5.0,0.1550736375445244,0.0172616181545135
2,100,0.5,0.92,1.0,0.1,10000,5.0,0.2174797488642287,0.0264108941921286
2,100,0.5,0.94,1.0,0.025,10000,5.0,-0.0088444241895377,0.0082859312917376
2,100,0.5,0.94,1.0,0.05,10000,5.0,0.0465041344473621,0.0212785084985727
2,100,0.5,0.94,1.0,0.075,10000,5.0,0.1613887861643975,0.0087175187817095
2,100,0.5,0.94,1.0,0.1,10000,5.0,0.2184995024813281,0.0223018189106995
2,100,0.5,0.96,1.0,0.025,10000,5.0,0.0056632295345687,0.0114403691182477
2,100,0.5,0.96,1.0,0.05,10000,5.0,0.0479143984769782,0.0140785557537455
2,100,0.5,0.96,1.0,0.075,10000,5.0,0.1187916759705229,0.024291319120798797
2,100,0.5,0.96,1.0,0.1,10000,5.0,0.2774741129306589,0.041062499237761
2,100,0.5,0.98,1.0,0.025,10000,5.0,0.0345642791451787,0.007601927702157599
2,100,0.5,0.98,1.0,0.05,10000,5.0,0.0487772281983535,0.0180119736882602
2,100,0.5,0.98,1.0,0.075,10000,5.0,0.0583813040688862,0.0325740066402792
2,100,0.5,0.98,1.0,0.1,10000,5.0,0.2139495490021981,0.0275864463944292
2,100,0.5,1.0,1.0,0.025,10000,5.0,0.013752659872929802,0.008692540610100599
2,100,0.5,1.0,1.0,0.05,10000,5.0,0.0435283793557853,0.0127167183795526
2,100,0.5,1.0,1.0,0.075,10000,5.0,0.12370957917467248,0.033124306434042496
2,100,0.5,1.0,1.0,0.1,10000,5.0,0.2230513593975354,0.028127116372193197
2,100,0.5,1.02,1.0,0.025,10000,5.0,0.014364551807107601,0.014338746390133198
2,100,0.5,1.02,1.0,0.05,10000,5.0,0.0427256372088551,0.0187496599794014
2,100,0.5,1.02,1.0,0.075,10000,5.0,0.0916398547801054,0.0107855382243982
2,100,0.5,1.02,1.0,0.1,10000,5.0,0.1695146580172261,0.029418099891388397
2,100,0.5,1.04,1.0,0.025,10000,5.0,0.0101777730345548,0.0088237610677862
2,100,0.5,1.04,1.0,0.05,10000,5.0,0.0225682962247248,0.0071275097255109
2,100,0.5,1.04,1.0,0.075,10000,5.0,0.1123176543236329,0.0072455618750763996
2,100,0.5,1.04,1.0,0.1,10000,5.0,0.2040117722800511,0.052130920734863695
2,100,0.5,1.06,1.0,0.025,10000,5.0,0.0190073929036905,0.0096158849725733
2,100,0.5,1.06,1.0,0.05,10000,5.0,0.0317036656014765,0.009834033226791
2,100,0.5,1.06,1.0,0.075,10000,5.0,0.1086547977535883,0.0358937207483046
2,100,0.5,1.06,1.0,0.1,10000,5.0,0.2456752603450016,0.0531423733312986
2,100,0.5,1.08,1.0,0.025,10000,5.0,0.0115913803301821,0.0082904047014433
2,100,0.5,1.08,1.0,0.05,10000,5.0,0.05810021511201759,0.0260827250286838
2,100,0.5,1.08,1.0,0.075,10000,5.0,0.1148587204033847,0.0366414535759548
2,100,0.5,1.08,1.0,0.1,10000,5.0,0.1735251868980825,0.0322452537408709
2,100,0.5,1.1,1.0,0.025,10000,5.0,0.0043722038761098,0.0094557775201841
2,100,0.5,1.1,1.0,0.05,10000,5.0,0.0738960214146874,0.0139564882355285
2,100,0.5,1.1,1.0,0.075,10000,5.0,0.0978018185016339,0.0130619600860988
2,100,0.5,1.1,1.0,0.1,10000,5.0,0.1750241398520208,0.032028303219537396
2,100,0.5,1.12,1.0,0.025,10000,5.0,0.0071671255950743005,0.0100404883081857
