N_agents,x_ini,a_i,a_1,mu,sigma,time_steps,N_simulations,gamma_1,gamma_1_def,gamma_1_rel,error,rel_error
2,1.0,0.5,0.01,1.0,0.1,10000,100,-0.47816478257062905,-0.5052644116938978,0.027099629123268645,0.0003681666457553596,0.013585671009764464
2,1.0,0.5,0.02,1.0,0.1,10000,100,-0.4735347778260258,-0.5194569886052111,0.04592221077918526,0.0006962879358309202,0.015162334827018394
2,1.0,0.5,0.03,1.0,0.1,10000,100,-0.4402613989758482,-0.5035383505633306,0.06327695158748246,0.0008174668275599247,0.01291887183328909
2,1.0,0.5,0.04,1.0,0.1,10000,100,-0.4285659322329374,-0.506189931486373,0.0776239992534356,0.0012855767495987677,0.016561588709201536
2,1.0,0.5,0.05,1.0,0.1,10000,100,-0.4263635191685493,-0.520715599491005,0.09435208032245562,0.0014796605885205232,0.01568233136422289
2,1.0,0.5,0.06,1.0,0.1,10000,100,-0.39401304864682596,-0.4991210463271901,0.10510799768036401,0.001802783963154218,0.017151729677474477
2,1.0,0.5,0.07,1.0,0.1,10000,100,-0.38858458775913,-0.5061536247025509,0.11756903694342079,0.002006075727208406,0.017062959596869154
2,1.0,0.5,0.08,1.0,0.1,10000,100,-0.3753462740490752,-0.5030883115896391,0.12774203754056382,0.0021767649859653145,0.017040318346840947
2,1.0,0.5,0.09,1.0,0.1,10000,100,-0.3692153462837362,-0.5102364184621461,0.14102107217840992,0.00230201862485331,0.016323933645469368
2,1.0,0.5,0.1,1.0,0.1,10000,100,-0.3656395360486439,-0.5163915819579765,0.15075204590933253,0.002375597533676696,0.01575831040532254
2,1.0,0.5,0.11,1.0,0.1,10000,100,-0.3355505622860289,-0.4915287954386137,0.15597823315258474,0.0026067211623337317,0.016712082895462232
2,1.0,0.5,0.12,1.0,0.1,10000,100,-0.3434978919418287,-0.5073320362034938,0.16383414426166507,0.0029206332727346697,0.017826767954242963
2,1.0,0.5,0.13,1.0,0.1,10000,100,-0.32603272672233513,-0.4991747927100671,0.17314206598773194,0.0032431541151530497,0.018731173713630315
2,1.0,0.5,0.14,1.0,0.1,10000,100,-0.3178485620257495,-0.49384084878223106,0.17599228675648163,0.0031438336441483817,0.017863474031100383
2,1.0,0.5,0.15,1.0,0.1,10000,100,-0.3293171133316672,-0.5192790081402298,0.18996189480856263,0.003181858460025495,0.016749982743813268
